,Country,Longitude,Latitude
0,Fiji,163.85316464458032,-17.316309426382613
1,Tanzania,34.75298985475595,-6.257732428506092
2,W. Sahara,-12.13783111160779,24.291172960208623
3,Canada,-98.14238137209696,61.46907614534886
4,United States of America,-112.59943591150449,45.70562800215186
5,Kazakhstan,67.2846109811001,48.19166075218232
6,Uzbekistan,63.20363952823182,41.748602664652246
7,Papua New Guinea,145.31757462782235,-6.4516445146303445
8,Indonesia,117.42340756227354,-2.2217379365205367
9,Argentina,-65.17536077114173,-35.44682148949512
10,Chile,-71.52064394516432,-39.04701430994843
11,Dem. Rep. Congo,23.582955831479083,-2.8502757110956667
12,Somalia,45.72670076723565,4.752347756504953
13,Kenya,37.791555286661385,0.5959662521769523
14,Sudan,29.862604012257922,15.990585003116717
15,Chad,18.581329525332894,15.328867399839682
16,Haiti,-72.65801330535574,18.900700691843337
17,Dominican Rep.,-70.46235845697531,18.884487087982258
18,Russia,96.80331818290101,61.96166349492294
19,Bahamas,-77.92997080393513,25.51549172533661
20,Falkland Is.,-59.42097279311021,-51.71322176551185
21,Norway,15.468119955206761,69.15685630975356
22,Greenland,-41.50018111492097,74.77048769398986
23,Fr. S. Antarctic Lands,69.5315804704237,-49.306454911671985
24,Timor-Leste,125.96630027368401,-8.767760362467003
25,South Africa,25.048013879861678,-28.947033259979115
26,Lesotho,28.170105295170494,-29.625290493692013
27,Mexico,-102.5763495239869,23.935371902244835
28,Uruguay,-56.003278666548475,-32.780904365230825
29,Brazil,-53.05434003576711,-10.806773643498916
30,Bolivia,-64.64140560603113,-16.72898701530584
31,Peru,-74.39180581684722,-9.191562905134553
32,Colombia,-73.07773208697478,3.927213862709704
33,Panama,-80.10916483549376,8.530019388864652
34,Costa Rica,-84.17542309600948,9.965671127464528
35,Nicaragua,-85.02031850080252,12.848190428036988
36,Honduras,-86.58996383801542,14.822947081652929
37,El Salvador,-88.87290317032377,13.726091625794197
38,Guatemala,-90.36945836053154,15.699360612026911
39,Belize,-88.70342125299318,17.197089911451545
40,Venezuela,-66.16382727830238,7.162132267639002
41,Guyana,-58.97120310856251,4.790225375174759
42,Suriname,-55.91145629952073,4.1200080317588865
43,France,-2.876696699270548,42.46070432663376
44,Ecuador,-78.38416674608374,-1.4547717055405804
45,Puerto Rico,-66.47922227695507,18.2372245709719
46,Jamaica,-77.32425480164892,18.137636127868436
47,Cuba,-78.96068490970256,21.631751541025228
48,Zimbabwe,29.788548371892524,-18.906987947858802
49,Botswana,23.773081465789428,-22.099711378826413
50,Namibia,17.156168126194093,-22.099776931731068
51,Senegal,-14.50980278585943,14.354139988452022
52,Mali,-3.543294339453343,17.267772061700715
53,Mauritania,-10.326396925234992,20.20926720635376
54,Benin,2.337377553496156,9.647430780663699
55,Niger,9.324427099857923,17.345552814745542
56,Nigeria,7.995127754089786,9.548318418209965
57,Cameroon,12.611551546501774,5.663095287992696
58,Togo,0.9964039436703582,8.439541954669616
59,Ghana,-1.2369685557063992,7.928651813099648
60,C̫te d'Ivoire,-5.6120436452252225,7.5537550070104915
61,Guinea,-11.060853741185456,10.44827287727134
62,Guinea-Bissau,-15.110623751667879,12.022704382325685
63,Liberia,-9.410836154371117,6.431619862252993
64,Sierra Leone,-11.795257428559948,8.53035372615305
65,Burkina Faso,-1.77653745205594,12.311650494136712
66,Central African Rep.,20.374347291243915,6.5427787059213145
67,Congo,15.13446176741353,-0.8378010872252886
68,Gabon,11.687751174902044,-0.6470481398040288
69,Eq. Guinea,10.366031325064027,1.6458643199600753
70,Zambia,27.727591918760577,-13.395067553524187
71,Malawi,34.193605326922366,-13.172834992341919
72,Mozambique,35.47261597864435,-17.230448975659677
73,eSwatini,31.39525590206532,-26.48985528852001
74,Angola,17.470572552313456,-12.245869036133186
75,Burundi,29.91389229542573,-3.3773910753554657
76,Israel,35.003851206429005,31.4849193900197
77,Lebanon,35.87098632001643,33.91182720781994
78,Madagascar,46.69117091471639,-19.356114077828778
79,Palestine,35.27331962289024,31.94113662241515
80,Gambia,-15.431872807730837,13.47533435870166
81,Tunisia,9.534716120695835,34.172939036882376
82,Algeria,2.5980477916183444,28.185481278657537
83,Jordan,36.77945490632519,31.245490584748417
84,United Arab Emirates,54.20671476159633,23.86863365334761
85,Qatar,51.1835025789133,25.32185097420669
86,Kuwait,47.600098887626416,29.307266634033564
87,Iraq,43.75691096461423,33.03682096372491
88,Oman,56.09867281997542,20.611174374229545
89,Vanuatu,167.07375126822677,-15.542677057554927
90,Cambodia,104.87608532525192,12.684728629393506
91,Thailand,101.00613354626108,15.01697499141648
92,Laos,103.75025989504465,18.444978089036088
93,Myanmar,96.50584094206161,21.016999873773827
94,Vietnam,106.28584079705195,16.657937753254938
95,North Korea,127.16501590888961,40.14302033650105
96,South Korea,127.8213171283307,36.42759860415487
97,Mongolia,102.94640620846634,46.82368112626357
98,India,79.59370376325381,22.92500640740852
99,Bangladesh,90.26792827719598,23.83946179534406
100,Bhutan,90.4724248062037,27.427968649102027
101,Nepal,84.01317367692529,28.23944001904935
102,Pakistan,69.41399806318127,29.973460025547393
103,Afghanistan,66.08669022192831,33.85639928169076
104,Tajikistan,71.03443504896113,38.58308146421082
105,Kyrgyzstan,74.62040481092558,41.50689371318262
106,Turkmenistan,59.27543026236141,39.09124018017583
107,Iran,54.285451496891426,32.51891731762539
108,Syria,38.54423941961137,35.012614281129
109,Armenia,45.00029001101479,40.21660761230143
110,Sweden,16.59626584684802,62.811484968080336
111,Belarus,27.98135261544803,53.50634479481114
112,Ukraine,31.229122070266495,49.14882260840351
113,Poland,19.31101430844868,52.14826021933187
114,Austria,14.076158884337072,47.6139487927463
115,Hungary,19.357628627745918,47.19995117195427
116,Moldova,28.41048279080328,47.20367642606752
117,Romania,24.943252494635377,45.857101035738005
118,Lithuania,23.88064027584349,55.284319484766066
119,Latvia,24.833296149803438,56.80717513427924
120,Estonia,25.824725613026608,58.643695426630906
121,Germany,10.288485092742851,51.13372269040778
122,Bulgaria,25.19511095327711,42.7531187620217
123,Greece,22.71981344709506,39.06671589971396
124,Turkey,35.116900150938385,39.0683719406147
125,Albania,20.03242643144321,41.141353306048785
126,Croatia,16.566189771645533,45.01623399593114
127,Switzerland,8.118300613385486,46.79173768366762
128,Luxembourg,5.965223432343999,49.76570507415103
129,Belgium,4.580834113854935,50.65244095902296
130,Netherlands,5.512217100965399,52.298700374441786
131,Portugal,-8.055765588295687,39.63404977497817
132,Spain,-3.6170206023873743,40.348656106226734
133,Ireland,-8.010236544877012,53.18059120995006
134,New Caledonia,165.53447460087543,-21.26135761252651
135,Solomon Is.,159.9666154474296,-8.852497470848528
136,New Zealand,172.70192594405583,-41.662578757158705
137,Australia,134.50277547536606,-25.730654779726088
138,Sri Lanka,80.66723574931648,7.700534417248105
139,China,103.88361230063238,36.55506653185868
140,Taiwan,120.97480073748623,23.740964979784938
141,Italy,12.140788372235868,42.75118305296426
142,Denmark,9.876372937675002,56.06393446179454
143,United Kingdom,-2.8531353951805554,53.91477348053705
144,Iceland,-18.761028770831768,65.07427633529105
145,Azerbaijan,47.553909558006055,40.22069054766168
146,Georgia,43.48154265409026,42.16201501415301
147,Philippines,122.90267236988684,11.76379936229767
148,Malaysia,109.6981484486297,3.725588425773715
149,Brunei,114.91510877393951,4.690250542520635
150,Slovenia,14.938152320795732,46.12542205901039
151,Finland,26.211764610296353,64.50409403963651
152,Slovakia,19.507657147433708,48.7267113517275
153,Czechia,15.334558102365815,49.775245294369
154,Eritrea,38.67818692786484,15.427276751412931
155,Japan,138.0649621327077,37.663110811704634
156,Paraguay,-58.387387833505706,-23.248041946292087
157,Yemen,47.535044758543485,15.913231950143004
158,Saudi Arabia,44.51636376826477,24.123289839105293
159,Antarctica,20.57100056984262,-80.4919828828436
160,N. Cyprus,33.5582859592249,35.273957681259716
161,Cyprus,33.03955380295407,34.90706085094344
162,Morocco,-8.420479544549693,29.885394698302058
163,Egypt,29.844461513124415,26.50661999974957
164,Libya,17.974352779160352,26.997460407020338
165,Ethiopia,39.551255792937745,8.653999188132575
166,Djibouti,42.4980197360445,11.773044395533926
167,Somaliland,46.23074953490769,9.757971805222988
168,Uganda,32.35755031998686,1.2954855035097297
169,Rwanda,29.91896392224289,-2.0135144658341346
170,Bosnia and Herz.,17.816883270390086,44.1807677629747
171,Macedonia,21.697903375280845,41.60592964714007
172,Serbia,20.819651926382583,44.23303653365162
173,Montenegro,19.2861817215929,42.78903960655908
174,Kosovo,20.895355721342227,42.579367131816994
175,Trinidad and Tobago,-61.33036691444967,10.428237089201879
176,S. Sudan,30.198617582461907,7.292890133516845
